time,기온,풍속,풍향,습도,전운량,계산
2018-03-01 0:00,3.1,3.6,340,96,,
2018-03-01 1:00,2.8,0.7,140,97,,
2018-03-01 2:00,2.6,3.2,320,95,,
2018-03-01 3:00,2,1.9,230,97,,
2018-03-01 4:00,2.2,2.1,180,97,,
2018-03-01 5:00,4.1,4.4,270,97,,
2018-03-01 6:00,3.5,7.9,320,93,,
2018-03-01 7:00,2.2,6.4,290,86,,
2018-03-01 8:00,1,7.7,320,82,,
2018-03-01 9:00,0.3,8.9,320,71,,
2018-03-01 10:00,0.6,7.9,320,63,,
2018-03-01 11:00,0.5,9.1,320,58,,
2018-03-01 12:00,0.7,6.7,320,60,,
2018-03-01 13:00,1.5,6.5,320,60,,
2018-03-01 14:00,0.1,5.1,340,56,,
2018-03-01 15:00,0.4,5,320,56,,
2018-03-01 16:00,0.3,6,290,56,,
2018-03-01 17:00,-0.5,4.6,320,59,,
2018-03-01 18:00,-1.3,5.4,290,62,,
2018-03-01 19:00,-1.7,4.4,320,63,,
2018-03-01 20:00,-1.8,4.3,320,63,,
2018-03-01 21:00,-1.8,4.7,320,61,,
2018-03-01 22:00,-1.9,3.3,320,60,,
2018-03-01 23:00,-2.3,3.7,340,55,,
2018-03-02 0:00,-2.7,3.7,360,56,,
2018-03-02 1:00,-2.8,3.8,360,53,,
2018-03-02 2:00,-3.2,2.5,360,52,,
2018-03-02 3:00,-3.5,2.6,20,50,,
2018-03-02 4:00,-4.2,1.4,50,55,,
2018-03-02 5:00,-5.1,0.8,70,59,,
2018-03-02 6:00,-6.3,0.6,360,75,,
2018-03-02 7:00,-7.1,0.3,0,83,,
2018-03-02 8:00,-5.7,0.8,200,76,,
2018-03-02 9:00,-3.2,1,230,53,,
2018-03-02 10:00,-1.5,1.9,250,47,,
2018-03-02 11:00,-0.7,1.4,250,29,,
2018-03-02 12:00,1.3,2.2,250,38,,
2018-03-02 13:00,2.7,1.5,340,22,,
2018-03-02 14:00,4.3,1.6,50,23,,
2018-03-02 15:00,5.4,1.8,320,25,,
2018-03-02 16:00,5.9,2,290,26,,
2018-03-02 17:00,3.1,3.6,340,50,,
2018-03-02 18:00,1.6,1.4,360,53,,
2018-03-02 19:00,-0.1,1.2,340,61,,
2018-03-02 20:00,-0.9,1.2,50,64,,
2018-03-02 21:00,-1.3,1.1,50,66,,
2018-03-02 22:00,-0.7,0.2,0,68,,
2018-03-02 23:00,-0.3,0.3,0,65,,
2018-03-03 0:00,-0.2,0,0,67,,
2018-03-03 1:00,0.1,0,0,68,,
2018-03-03 2:00,0.1,1.2,90,65,,
2018-03-03 3:00,0.4,0.4,0,68,,
2018-03-03 4:00,0.1,0.1,0,72,,
2018-03-03 5:00,-0.5,0.1,0,77,,
2018-03-03 6:00,-1.4,0.3,0,77,,
2018-03-03 7:00,-2.1,1.1,20,83,,
2018-03-03 8:00,-0.6,0.5,360,70,,
2018-03-03 9:00,2.9,0.4,0,48,,
2018-03-03 10:00,6.1,1,20,27,,
2018-03-03 11:00,9.1,0.7,160,23,,
2018-03-03 12:00,11.6,2.7,250,25,,
2018-03-03 13:00,12.8,3.9,200,12,,
2018-03-03 14:00,13.6,3.8,230,11,,
2018-03-03 15:00,13.8,4,200,19,,
2018-03-03 16:00,14.6,2.7,200,31,,
2018-03-03 17:00,13.3,3.5,200,53,,
2018-03-03 18:00,11.7,2.5,230,62,,
2018-03-03 19:00,9.6,2.3,160,67,,
2018-03-03 20:00,8.9,1.7,160,68,,
2018-03-03 21:00,8.3,0.7,110,74,,
2018-03-03 22:00,8.4,0.5,180,74,,
2018-03-03 23:00,8.9,0.7,140,70,,
2018-03-04 0:00,8.6,0.9,90,72,,
2018-03-04 1:00,8.4,0.3,0,75,,
2018-03-04 2:00,8.2,0.2,0,77,,
2018-03-04 3:00,8.9,1.6,160,77,,
2018-03-04 4:00,9,0.5,180,78,,
2018-03-04 5:00,9.1,1.6,160,82,,
2018-03-04 6:00,8.9,1.1,200,85,,
2018-03-04 7:00,7.6,1.2,250,97,,
2018-03-04 8:00,7.8,0.1,0,98,,
2018-03-04 9:00,8.3,0.9,360,98,,
2018-03-04 10:00,9.8,1.1,110,98,,
2018-03-04 11:00,11.8,1,340,93,,
2018-03-04 12:00,13.6,2,360,83,,
2018-03-04 13:00,13.9,3.2,360,78,,
2018-03-04 14:00,13.1,3.3,360,80,,
2018-03-04 15:00,14.6,2.7,360,75,,
2018-03-04 16:00,13.9,2.4,20,78,,
2018-03-04 17:00,14,3.1,50,79,,
2018-03-04 18:00,13.1,1.9,20,84,,
2018-03-04 19:00,12.9,3.6,20,82,,
2018-03-04 20:00,11.4,2.4,360,94,,
2018-03-04 21:00,8.7,4.5,360,98,,
2018-03-04 22:00,8.6,4.6,360,98,,
2018-03-04 23:00,8.9,4,20,98,,
2018-03-05 0:00,8.8,3.5,20,98,,
2018-03-05 1:00,8.5,3.9,20,98,,
2018-03-05 2:00,9.3,3.4,50,98,,
2018-03-05 3:00,8.6,4.5,20,98,,
2018-03-05 4:00,7.6,4.4,50,98,,
2018-03-05 5:00,6.6,4.3,20,96,,
2018-03-05 6:00,5.8,4.2,50,96,,
2018-03-05 7:00,5.3,3.3,50,93,,
2018-03-05 8:00,5.2,4.3,50,86,,
2018-03-05 9:00,5.2,5,20,84,,
2018-03-05 10:00,5.3,4.2,20,84,,
2018-03-05 11:00,6.1,5.5,20,73,,
2018-03-05 12:00,6.7,3.7,20,70,,
2018-03-05 13:00,7.3,4.9,20,64,,
2018-03-05 14:00,7.6,4.1,20,63,,
2018-03-05 15:00,7.7,4.4,20,60,,
2018-03-05 16:00,9.4,3,50,54,,
2018-03-05 17:00,9.2,3.2,20,54,,
2018-03-05 18:00,7.9,3.8,360,56,,
2018-03-05 19:00,6.2,2.5,360,62,,
2018-03-05 20:00,5.3,2.6,20,64,,
2018-03-05 21:00,4.4,2.4,20,69,,
2018-03-05 22:00,3.6,2.3,20,74,,
2018-03-05 23:00,3,1.3,20,76,,
2018-03-06 0:00,2.4,1.4,20,79,,
2018-03-06 1:00,1.9,1.5,50,79,,
2018-03-06 2:00,1.2,0.9,20,81,,
2018-03-06 3:00,0.6,1.2,20,83,,
2018-03-06 4:00,0,0.9,360,86,,
2018-03-06 5:00,-0.3,1.2,20,89,,
2018-03-06 6:00,-0.7,0.8,20,91,,
2018-03-06 7:00,-0.5,0.6,50,93,,
2018-03-06 8:00,0.4,1.5,50,92,,
2018-03-06 9:00,2.3,0.8,360,81,,
2018-03-06 10:00,4.5,1.4,50,66,,
2018-03-06 11:00,6.4,1.4,340,62,,
2018-03-06 12:00,8.5,2.6,360,43,,
2018-03-06 13:00,8.6,3.3,340,39,,
2018-03-06 14:00,8.3,3.3,360,33,,
2018-03-06 15:00,9.4,3.4,340,39,,
2018-03-06 16:00,8.9,3,360,39,,
2018-03-06 17:00,7.8,3.2,340,41,,
2018-03-06 18:00,5.9,3.3,340,46,,
2018-03-06 19:00,3.7,1.9,360,55,,
2018-03-06 20:00,2.3,1.2,50,60,,
2018-03-06 21:00,1.7,1.7,50,64,,
2018-03-06 22:00,1.3,1.9,70,66,,
2018-03-06 23:00,1.3,2.3,70,66,,
2018-03-07 0:00,1.2,2,50,69,,
2018-03-07 1:00,0.3,1.1,50,74,,
2018-03-07 2:00,1.3,1.4,20,71,,
2018-03-07 3:00,1.8,1.4,20,70,,
2018-03-07 4:00,1.7,1,360,72,,
2018-03-07 5:00,0.2,0.1,0,82,,
2018-03-07 6:00,-0.6,0.1,0,86,,
2018-03-07 7:00,-0.1,0.7,50,87,,
2018-03-07 8:00,2.7,1.1,70,76,,
2018-03-07 9:00,5.1,1.6,110,64,,
2018-03-07 10:00,7.6,2.1,90,54,,
2018-03-07 11:00,8.4,2.8,90,49,,
2018-03-07 12:00,9.2,1.2,180,50,,
2018-03-07 13:00,9.9,2.6,290,46,,
2018-03-07 14:00,10.3,1.5,360,45,,
2018-03-07 15:00,10.7,1.5,110,42,,
2018-03-07 16:00,10.9,1.6,90,41,,
2018-03-07 17:00,8.3,3,320,57,,
2018-03-07 18:00,7.7,2.3,360,58,,
2018-03-07 19:00,6.6,1.7,340,69,,
2018-03-07 20:00,5.8,0.4,0,84,,
2018-03-07 21:00,5.3,1.2,360,86,,
2018-03-07 22:00,4.6,0.4,0,96,,
2018-03-07 23:00,4.4,0.8,70,96,,
2018-03-08 0:00,3.8,1.7,70,95,,
2018-03-08 1:00,3.4,1.6,50,97,,
2018-03-08 2:00,2.7,1.5,50,97,,
2018-03-08 3:00,2.4,1.9,360,97,,
2018-03-08 4:00,2.4,2.3,20,97,,
2018-03-08 5:00,1.8,3.3,20,97,,
2018-03-08 6:00,1.6,2.6,20,98,,
2018-03-08 7:00,2.2,2.1,20,98,,
2018-03-08 8:00,2.8,3.1,360,96,,
2018-03-08 9:00,3.3,3.3,360,97,,
2018-03-08 10:00,3.7,3.7,360,95,,
2018-03-08 11:00,4.7,4,360,89,,
2018-03-08 12:00,5.6,4.5,20,80,,
2018-03-08 13:00,6.7,4.3,360,71,,
2018-03-08 14:00,5.4,5.3,320,80,,
2018-03-08 15:00,4.8,5.9,320,81,,
2018-03-08 16:00,4,5.3,320,81,,
2018-03-08 17:00,3.4,4.8,340,77,,
2018-03-08 18:00,2.4,3.1,340,76,,
2018-03-08 19:00,1.6,2.2,320,81,,
2018-03-08 20:00,1.2,1.6,270,85,,
2018-03-08 21:00,1.7,1.3,270,84,,
2018-03-08 22:00,0.7,0.6,180,90,,
2018-03-08 23:00,0.8,0.8,290,94,,
2018-03-09 0:00,1.6,1.5,320,85,,
2018-03-09 1:00,0.6,0.5,340,82,,
2018-03-09 2:00,1.1,0.2,0,74,,
2018-03-09 3:00,0.7,0.5,160,81,,
2018-03-09 4:00,0.8,0.8,200,82,,
2018-03-09 5:00,1.1,0.8,180,79,,
2018-03-09 6:00,0.1,0.1,0,89,,
2018-03-09 7:00,0.3,0.2,0,90,,
2018-03-09 8:00,1,0.9,180,79,,
2018-03-09 9:00,2.3,0.6,140,70,,
2018-03-09 10:00,4,0.4,0,67,,
2018-03-09 11:00,5.4,2.1,290,65,,
2018-03-09 12:00,6.5,2,230,64,,
2018-03-09 13:00,7.2,2.4,250,62,,
2018-03-09 14:00,6.8,3.2,250,63,,
2018-03-09 15:00,6.4,3.4,250,64,,
2018-03-09 16:00,6.9,3.3,250,62,,
2018-03-09 17:00,6.7,1.8,250,61,,
2018-03-09 18:00,6.2,1.6,230,62,,
2018-03-09 19:00,3.8,1.9,250,80,,
2018-03-09 20:00,2.3,1.1,180,84,,
2018-03-09 21:00,0.8,0.6,230,91,,
2018-03-09 22:00,0.2,0.7,180,94,,
2018-03-09 23:00,0.1,1.2,160,96,,
2018-03-10 0:00,-0.6,0.9,20,96,,
2018-03-10 1:00,-1.2,0,0,97,,
2018-03-10 2:00,-1.5,1.1,140,97,,
2018-03-10 3:00,-2.2,0.6,200,98,,
2018-03-10 4:00,-2,0.3,0,98,,
2018-03-10 5:00,-2.6,0.4,0,98,,
2018-03-10 6:00,-3,0.3,0,97,,
2018-03-10 7:00,-1.7,0.5,140,98,,
2018-03-10 8:00,-0.3,0.9,250,97,,
2018-03-10 9:00,2,1.2,230,95,,
2018-03-10 10:00,4,3,200,77,,
2018-03-10 11:00,5.6,3.4,180,67,,
2018-03-10 12:00,7.1,3.3,230,64,,
2018-03-10 13:00,7.4,3.8,200,63,,
2018-03-10 14:00,7.3,3.7,200,64,,
2018-03-10 15:00,7.3,4.4,250,62,,
2018-03-10 16:00,6.8,3.8,270,61,,
2018-03-10 17:00,6.3,3.5,250,67,,
2018-03-10 18:00,5.1,2.6,270,72,,
2018-03-10 19:00,3.8,1.7,230,84,,
2018-03-10 20:00,3.4,2.2,200,87,,
2018-03-10 21:00,3,1.5,230,88,,
2018-03-10 22:00,2.4,0.8,230,91,,
2018-03-10 23:00,2.1,0.2,0,95,,
2018-03-11 0:00,2.9,0.4,0,95,,
2018-03-11 1:00,3.6,0.5,250,93,,
2018-03-11 2:00,3.9,0.7,180,92,,
2018-03-11 3:00,3.6,0.6,270,94,,
2018-03-11 4:00,2.4,0.7,180,96,,
2018-03-11 5:00,1,0.2,0,98,,
2018-03-11 6:00,1.9,0.6,160,98,,
2018-03-11 7:00,1.7,0.3,0,98,,
2018-03-11 8:00,3.1,0.2,0,98,,
2018-03-11 9:00,4.8,0.6,290,86,,
2018-03-11 10:00,6,1.4,250,79,,
2018-03-11 11:00,7.7,1.8,270,72,,
2018-03-11 12:00,9.7,2.6,270,65,,
2018-03-11 13:00,10.6,2.9,250,53,,
2018-03-11 14:00,10.6,3,230,61,,
2018-03-11 15:00,10,3.6,250,66,,
2018-03-11 16:00,9.7,2.7,250,64,,
2018-03-11 17:00,8.6,3.2,250,69,,
