기온(°C)flag,풍속(m/s)flag,풍향(16방위)flag,습도(%)flag,전운량(10분위)flag,totalConfidence
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
1,1,1,1,0,0.8
