일시,기온(°C),풍속(m/s),풍향(16방위),습도(%),전운량(10분위),c일사량
2018-03-01 08:00:00,1.0,7.7,320.0,82.0,0.0,0.5652
2018-03-01 09:00:00,0.3,8.9,320.0,71.0,0.0,1.2204
2018-03-01 10:00:00,0.6,7.9,320.0,63.0,0.0,1.7748
2018-03-01 11:00:00,0.5,9.1,320.0,58.0,0.0,2.1348
2018-03-01 12:00:00,0.7,6.7,320.0,60.0,0.0,2.2572
2018-03-01 13:00:00,1.5,6.5,320.0,60.0,0.0,2.1348
2018-03-01 14:00:00,0.1,5.1,340.0,56.0,0.0,1.7748
2018-03-01 15:00:00,0.4,5.0,320.0,56.0,0.0,1.2204
2018-03-01 16:00:00,0.3,6.0,290.0,56.0,0.0,0.5652
2018-03-01 17:00:00,-0.5,4.6,320.0,59.0,0.0,0.0504
2018-03-01 18:00:00,-1.3,5.4,290.0,62.0,0.0,0.0
2018-03-01 19:00:00,-1.7,4.4,320.0,63.0,0.0,0.0
2018-03-02 08:00:00,-5.7,0.8,200.0,76.0,0.0,0.5832
2018-03-02 09:00:00,-3.2,1.0,230.0,53.0,0.0,1.2384
2018-03-02 10:00:00,-1.5,1.9,250.0,47.0,0.0,1.7928
2018-03-02 11:00:00,-0.7,1.4,250.0,29.0,0.0,2.1528
2018-03-02 12:00:00,1.3,2.2,250.0,38.0,0.0,2.2788
2018-03-02 13:00:00,2.7,1.5,340.0,22.0,0.0,2.1528
2018-03-02 14:00:00,4.3,1.6,50.0,23.0,0.0,1.7928
2018-03-02 15:00:00,5.4,1.8,320.0,25.0,0.0,1.2384
2018-03-02 16:00:00,5.9,2.0,290.0,26.0,0.0,0.5832
2018-03-02 17:00:00,3.1,3.6,340.0,50.0,0.0,0.054
2018-03-02 18:00:00,1.6,1.4,360.0,53.0,0.0,0.0
2018-03-02 19:00:00,-0.1,1.2,340.0,61.0,0.0,0.0
2018-03-03 08:00:00,-0.6,0.5,360.0,70.0,0.0,0.5976
2018-03-03 09:00:00,2.9,0.4,0.0,48.0,0.0,1.26
2018-03-03 10:00:00,6.1,1.0,20.0,27.0,0.0,1.8144
2018-03-03 11:00:00,9.1,0.7,160.0,23.0,0.0,2.1744
2018-03-03 12:00:00,11.6,2.7,250.0,25.0,0.0,2.3004
2018-03-03 13:00:00,12.8,3.9,200.0,12.0,0.0,2.1744
2018-03-03 14:00:00,13.6,3.8,230.0,11.0,0.0,1.8144
2018-03-03 15:00:00,13.8,4.0,200.0,19.0,0.0,1.26
2018-03-03 16:00:00,14.6,2.7,200.0,31.0,0.0,0.5976
2018-03-03 17:00:00,13.3,3.5,200.0,53.0,0.0,0.0612
2018-03-03 18:00:00,11.7,2.5,230.0,62.0,0.0,0.0
2018-03-03 19:00:00,9.6,2.3,160.0,67.0,0.0,0.0
2018-03-04 08:00:00,7.8,0.1,0.0,98.0,0.0,0.612
2018-03-04 09:00:00,8.3,0.9,360.0,98.0,0.0,1.278
2018-03-04 10:00:00,9.8,1.1,110.0,98.0,0.0,1.8324
2018-03-04 11:00:00,11.8,1.0,340.0,93.0,0.0,2.196
2018-03-04 12:00:00,13.6,2.0,360.0,83.0,0.0,2.3184
2018-03-04 13:00:00,13.9,3.2,360.0,78.0,0.0,2.196
2018-03-04 14:00:00,13.1,3.3,360.0,80.0,0.0,1.8324
2018-03-04 15:00:00,14.6,2.7,360.0,75.0,0.0,1.278
2018-03-04 16:00:00,13.9,2.4,20.0,78.0,0.0,0.612
2018-03-04 17:00:00,14.0,3.1,50.0,79.0,0.0,0.0684
2018-03-04 18:00:00,13.1,1.9,20.0,84.0,0.0,0.0
2018-03-04 19:00:00,12.9,3.6,20.0,82.0,0.0,0.0
2018-03-05 08:00:00,5.2,4.3,50.0,86.0,0.0,0.63
2018-03-05 09:00:00,5.2,5.0,20.0,84.0,0.0,1.296
2018-03-05 10:00:00,5.3,4.2,20.0,84.0,0.0,1.854
2018-03-05 11:00:00,6.1,5.5,20.0,73.0,0.0,2.214
2018-03-05 12:00:00,6.7,3.7,20.0,70.0,0.0,2.34
2018-03-05 13:00:00,7.3,4.9,20.0,64.0,0.0,2.214
2018-03-05 14:00:00,7.6,4.1,20.0,63.0,0.0,1.854
2018-03-05 15:00:00,7.7,4.4,20.0,60.0,0.0,1.296
2018-03-05 16:00:00,9.4,3.0,50.0,54.0,0.0,0.63
2018-03-05 17:00:00,9.2,3.2,20.0,54.0,0.0,0.0756
2018-03-05 18:00:00,7.9,3.8,360.0,56.0,0.0,0.0
2018-03-05 19:00:00,6.2,2.5,360.0,62.0,0.0,0.0
2018-03-06 07:00:00,-0.5,0.6,50.0,93.0,0.0,0.0828
2018-03-06 08:00:00,0.4,1.5,50.0,92.0,0.0,0.6444
2018-03-06 09:00:00,2.3,0.8,360.0,81.0,0.0,1.314
2018-03-06 10:00:00,4.5,1.4,50.0,66.0,0.0,1.872
2018-03-06 11:00:00,6.4,1.4,340.0,62.0,0.0,2.2356
2018-03-06 12:00:00,8.5,2.6,360.0,43.0,0.0,2.3616
2018-03-06 13:00:00,8.6,3.3,340.0,39.0,0.0,2.2356
2018-03-06 14:00:00,8.3,3.3,360.0,33.0,0.0,1.872
2018-03-06 15:00:00,9.4,3.4,340.0,39.0,0.0,1.314
2018-03-06 16:00:00,8.9,3.0,360.0,39.0,0.0,0.6444
2018-03-06 17:00:00,7.8,3.2,340.0,41.0,0.0,0.0828
2018-03-06 18:00:00,5.9,3.3,340.0,46.0,0.0,0.0
2018-03-06 19:00:00,3.7,1.9,360.0,55.0,0.0,0.0
2018-03-07 07:00:00,-0.1,0.7,50.0,87.0,0.0,0.09
2018-03-07 08:00:00,2.7,1.1,70.0,76.0,0.0,0.6624
2018-03-07 09:00:00,5.1,1.6,110.0,64.0,0.0,1.332
2018-03-07 10:00:00,7.6,2.1,90.0,54.0,0.0,1.8936
2018-03-07 11:00:00,8.4,2.8,90.0,49.0,0.0,2.2536
2018-03-07 12:00:00,9.2,1.2,180.0,50.0,0.0,2.3796
2018-03-07 13:00:00,9.9,2.6,290.0,46.0,0.0,2.2536
2018-03-07 14:00:00,10.3,1.5,360.0,45.0,0.0,1.8936
2018-03-07 15:00:00,10.7,1.5,110.0,42.0,0.0,1.332
2018-03-07 16:00:00,10.9,1.6,90.0,41.0,0.0,0.6624
2018-03-07 17:00:00,8.3,3.0,320.0,57.0,0.0,0.09
2018-03-07 18:00:00,7.7,2.3,360.0,58.0,0.0,0.0
2018-03-07 19:00:00,6.6,1.7,340.0,69.0,0.0,0.0
2018-03-08 07:00:00,2.2,2.1,20.0,98.0,0.0,0.0972
2018-03-08 08:00:00,2.8,3.1,360.0,96.0,0.0,0.6768
2018-03-08 09:00:00,3.3,3.3,360.0,97.0,0.0,1.35
2018-03-08 10:00:00,3.7,3.7,360.0,95.0,0.0,1.9116
2018-03-08 11:00:00,4.7,4.0,360.0,89.0,0.0,2.2752
2018-03-08 12:00:00,5.6,4.5,20.0,80.0,0.0,2.4012
2018-03-08 13:00:00,6.7,4.3,360.0,71.0,0.0,2.2752
2018-03-08 14:00:00,5.4,5.3,320.0,80.0,0.0,1.9116
2018-03-08 15:00:00,4.8,5.9,320.0,81.0,0.0,1.35
2018-03-08 16:00:00,4.0,5.3,320.0,81.0,0.0,0.6768
2018-03-08 17:00:00,3.4,4.8,340.0,77.0,0.0,0.0972
2018-03-08 18:00:00,2.4,3.1,340.0,76.0,0.0,0.0
2018-03-08 19:00:00,1.6,2.2,320.0,81.0,0.0,0.0
2018-03-09 07:00:00,0.3,0.2,0.0,90.0,0.0,0.1044
2018-03-09 08:00:00,1.0,0.9,180.0,79.0,0.0,0.6912
2018-03-09 09:00:00,2.3,0.6,140.0,70.0,0.0,1.368
2018-03-09 10:00:00,4.0,0.4,0.0,67.0,0.0,1.9296
2018-03-09 11:00:00,5.4,2.1,290.0,65.0,0.0,2.2932
2018-03-09 12:00:00,6.5,2.0,230.0,64.0,0.0,2.4192
2018-03-09 13:00:00,7.2,2.4,250.0,62.0,0.0,2.2932
2018-03-09 14:00:00,6.8,3.2,250.0,63.0,0.0,1.9296
2018-03-09 15:00:00,6.4,3.4,250.0,64.0,0.0,1.368
2018-03-09 16:00:00,6.9,3.3,250.0,62.0,0.0,0.6912
2018-03-09 17:00:00,6.7,1.8,250.0,61.0,0.0,0.1044
2018-03-09 18:00:00,6.2,1.6,230.0,62.0,0.0,0.0
2018-03-09 19:00:00,3.8,1.9,250.0,80.0,0.0,0.0
2018-03-10 07:00:00,-1.7,0.5,140.0,98.0,0.0,0.1152
2018-03-10 08:00:00,-0.3,0.9,250.0,97.0,0.0,0.7092
2018-03-10 09:00:00,2.0,1.2,230.0,95.0,0.0,1.386
2018-03-10 10:00:00,4.0,3.0,200.0,77.0,0.0,1.9512
2018-03-10 11:00:00,5.6,3.4,180.0,67.0,0.0,2.3148
2018-03-10 12:00:00,7.1,3.3,230.0,64.0,0.0,2.4408
2018-03-10 13:00:00,7.4,3.8,200.0,63.0,0.0,2.3148
2018-03-10 14:00:00,7.3,3.7,200.0,64.0,0.0,1.9512
2018-03-10 15:00:00,7.3,4.4,250.0,62.0,0.0,1.386
2018-03-10 16:00:00,6.8,3.8,270.0,61.0,0.0,0.7092
2018-03-10 17:00:00,6.3,3.5,250.0,67.0,0.0,0.1152
2018-03-10 18:00:00,5.1,2.6,270.0,72.0,0.0,0.0
2018-03-10 19:00:00,3.8,1.7,230.0,84.0,0.0,0.0
2018-03-11 07:00:00,1.7,0.3,0.0,98.0,0.0,0.1224
2018-03-11 08:00:00,3.1,0.2,0.0,98.0,0.0,0.7236
2018-03-11 09:00:00,4.8,0.6,290.0,86.0,0.0,1.404
2018-03-11 10:00:00,6.0,1.4,250.0,79.0,0.0,1.9692
2018-03-11 11:00:00,7.7,1.8,270.0,72.0,0.0,2.3328
2018-03-11 12:00:00,9.7,2.6,270.0,65.0,0.0,2.4588
2018-03-11 13:00:00,10.6,2.9,250.0,53.0,0.0,2.3328
2018-03-11 14:00:00,10.6,3.0,230.0,61.0,0.0,1.9692
2018-03-11 15:00:00,10.0,3.6,250.0,66.0,0.0,1.404
2018-03-11 16:00:00,9.7,2.7,250.0,64.0,0.0,0.7236
2018-03-11 17:00:00,8.6,3.2,250.0,69.0,0.0,0.1224
2018-03-11 18:00:00,6.8,2.7,250.0,75.0,0.0,0.0
2018-03-11 19:00:00,5.2,1.8,230.0,83.0,0.0,0.0
2018-03-12 07:00:00,-2.0,0.1,0.0,98.0,0.0,0.1296
2018-03-12 08:00:00,-0.9,0.3,0.0,98.0,0.0,0.7416
2018-03-12 09:00:00,1.6,0.5,200.0,98.0,0.0,1.4256
2018-03-12 10:00:00,4.4,0.9,290.0,96.0,0.0,1.9872
2018-03-12 11:00:00,9.7,1.9,250.0,79.0,0.0,2.3544
2018-03-12 12:00:00,12.1,3.8,230.0,49.0,0.0,2.4804
2018-03-12 13:00:00,13.0,4.7,200.0,47.0,0.0,2.3544
2018-03-12 14:00:00,13.7,5.3,200.0,46.0,0.0,1.9872
2018-03-12 15:00:00,13.3,3.8,200.0,46.0,0.0,1.4256
2018-03-12 16:00:00,12.4,4.0,200.0,45.0,0.0,0.7416
2018-03-12 17:00:00,11.4,3.9,200.0,49.0,0.0,0.1296
2018-03-12 18:00:00,10.1,3.7,200.0,54.0,0.0,0.0
2018-03-12 19:00:00,8.3,2.0,180.0,68.0,0.0,0.0
2018-03-13 07:00:00,7.9,1.0,230.0,65.0,0.0,0.1404
2018-03-13 08:00:00,9.1,0.7,340.0,61.0,0.0,0.756
2018-03-13 09:00:00,11.2,2.5,200.0,55.0,0.0,1.4436
2018-03-13 10:00:00,12.9,4.5,200.0,48.0,0.0,2.0088
2018-03-13 11:00:00,13.6,5.9,200.0,47.0,0.0,2.3724
2018-03-13 12:00:00,14.4,5.0,200.0,49.0,0.0,2.4984
2018-03-13 13:00:00,14.5,5.9,200.0,59.0,0.0,2.3724
2018-03-13 14:00:00,13.6,4.8,200.0,68.0,0.0,2.0088
