지점,지점명,일시,일사(MJ/m2)
129,서산,2020-01-01 8:00,0
129,서산,2020-01-01 9:00,0.12
129,서산,2020-01-01 10:00,0.67
129,서산,2020-01-01 11:00,1.09
129,서산,2020-01-01 12:00,1.56
129,서산,2020-01-01 13:00,1.19
129,서산,2020-01-01 14:00,0.98
129,서산,2020-01-01 15:00,0.32
129,서산,2020-01-01 16:00,0.17
129,서산,2020-01-01 17:00,0.07
129,서산,2020-01-01 18:00,0.01
129,서산,2020-01-02 8:00,0
129,서산,2020-01-02 9:00,0.09
129,서산,2020-01-02 10:00,0.28
129,서산,2020-01-02 11:00,0.54
129,서산,2020-01-02 12:00,0.59
129,서산,2020-01-02 13:00,0.39
129,서산,2020-01-02 14:00,0.22
129,서산,2020-01-02 15:00,0.18
129,서산,2020-01-02 16:00,0.29
129,서산,2020-01-02 17:00,0.24
129,서산,2020-01-02 18:00,0.02
129,서산,2020-01-03 8:00,0.01
129,서산,2020-01-03 9:00,0.15
129,서산,2020-01-03 10:00,0.57
129,서산,2020-01-03 11:00,1.16
129,서산,2020-01-03 12:00,1.45
129,서산,2020-01-03 13:00,1.68
129,서산,2020-01-03 14:00,1.7
129,서산,2020-01-03 15:00,1.45
129,서산,2020-01-03 16:00,0.97
129,서산,2020-01-03 17:00,0.41
129,서산,2020-01-03 18:00,0.02
129,서산,2020-01-04 8:00,0
129,서산,2020-01-04 9:00,0.15
129,서산,2020-01-04 10:00,0.27
129,서산,2020-01-04 11:00,0.82
129,서산,2020-01-04 12:00,0.89
129,서산,2020-01-04 13:00,1.27
129,서산,2020-01-04 14:00,1.44
129,서산,2020-01-04 15:00,1.47
129,서산,2020-01-04 16:00,0.98
129,서산,2020-01-04 17:00,0.42
129,서산,2020-01-04 18:00,0.03
129,서산,2020-01-05 8:00,0
129,서산,2020-01-05 9:00,0.37
129,서산,2020-01-05 10:00,1.1
129,서산,2020-01-05 11:00,1.54
129,서산,2020-01-05 12:00,1.64
129,서산,2020-01-05 13:00,1.78
129,서산,2020-01-05 14:00,1.57
129,서산,2020-01-05 15:00,1.21
129,서산,2020-01-05 16:00,0.67
129,서산,2020-01-05 17:00,0.31
129,서산,2020-01-05 18:00,0.02
129,서산,2020-01-06 8:00,0
129,서산,2020-01-06 9:00,0.06
129,서산,2020-01-06 10:00,0.12
129,서산,2020-01-06 11:00,0.21
129,서산,2020-01-06 12:00,0.25
129,서산,2020-01-06 13:00,0.34
129,서산,2020-01-06 14:00,0.3
129,서산,2020-01-06 15:00,0.19
129,서산,2020-01-06 16:00,0.13
